,新北市,宜蘭縣,桃園縣,新竹縣,苗栗縣,彰化縣,南投縣,雲林縣,嘉義縣,屏東縣,臺東縣,花蓮縣,澎湖縣,基隆市,新竹市,臺中市,嘉義市,臺南市,臺北市,高雄市,金門縣,連江縣
94年,208,85,248,111,97,162,103,171,127,179,75,122,13,24,42,314,34,235,84,292,8,-
95年,238,98,264,91,130,204,121,211,125,191,75,89,4,35,55,295,26,274,81,354,6,-
96年,193,81,178,100,89,165,82,164,97,177,66,62,4,26,34,277,27,221,94,285,6,-
97年,173,79,145,76,68,151,89,122,110,156,56,66,5,16,29,222,15,204,74,244,4,-
98年,151,74,131,66,70,125,74,128,99,153,54,74,10,23,31,185,23,185,82,243,7,-
99年,165,56,138,76,67,133,69,114,91,160,57,60,5,20,19,211,20,159,85,237,7,-
100年,172,77,125,79,58,142,73,124,88,140,57,52,7,19,36,210,16,205,81,251,7,-
101年,166,62,119,89,67,155,69,120,92,138,49,47,4,13,31,203,20,178,77,251,7,-
102年,148,56,118,63,58,153,69,126,82,129,61,47,7,12,31,157,17,191,83,228,4,-
103年,132,53,123,58,61,151,69,99,69,119,46,63,3,21,37,122,13,179,83,226,2,- 